순번(No),광고회사,주소,전화번호
2,(주)오리콤,"서울특별시 강남구 언주로 726 두산빌딩 6,7층 (논현동)",02-510-4100
6,(주)코래드,서울 강남구 역삼동 677-25 큰길타워13층,02-2193-8000
7,오길비코리아 유한회사,서울특별시 강남구 삼성로 507 (삼성동) JS타워,02-513-1114
8,(주)한컴,"서울특별시 강남구 언주로 726 5층,3층 일부(논현동, 두산빌딩)",02-519-6900
13,(주)인터콤어소시에이션,"서울특별시 강남구 학동로53길 29  (논현동, 인터콤빌딩)",02-3448-8800
15,엠얼라이언스주식회사,서울특별시 강남구 봉은사로2길 31 더블유빌딩 7층 (역삼동),02-2186-9700
28,(주)하바스코리아,서울특별시 강남구 봉은사로86길 6 (삼성동) 레베쌍트빌딩 7층,02-841-2985
34,케이아트만(주),서울 강남구 신사동  542-4번지 세비앙빌딩 4층,02-511-7053
37,TBWA KOREA(주),서울특별시 강남구 도산대로 139 제이타워 7층(신사동),02-501-8888
48,(주)덴츠크리에이티브코리아,"서울특별시 강남구 테헤란로79길 6 11층(삼성동,제이에스타워)",02-6005-0011
50,(주)케이이씨씨,서울특별시 강남구 강남대로 560 삼익전자빌딩 6층 (논현동),02-574-2239
53,(주)브레이커스커뮤니케이션스,서울 강남구 역삼동  서울시 강남구 역삼동 668-1 청파빌딩 3층,02-562-3328
56,미디어브랜즈코리아 주식회사,서울특별시 강남구 봉은사로2길 31 더블유빌딩 6층 (역삼동),02-2186-9700
57,스푼 주식회사,"서울특별시 강남구 논현로 706 아이캐슬빌딩 3, 7층 (논현동)",02-2056-3606
58,(주)솔트커뮤니케이션즈(서울),서울특별시 강남구 언주로 725  (논현동),02-3442-7600
60,(주)비플러스,서울특별시 강남구 강남대로156길 12 4층 D15(다복빌딩),02-562-5124
62,그레이월드와이드코리아(주),"서울 강남구 신사동 600-1 ISA빌딩 2,3층",02-3015-5800
64,(주)메이트인디펜던스,서울특별시 강남구 학동로 311 (논현동),02-2188-8400
69,(주)애드씨케이,"서울특별시 강남구 언주로 647 6층(논현동,강남빌딩)",02-515-1420
70,(주)캐러트코리아,"서울 강남구 테헤란로79길 6 (삼성동,20제이에스타워10층)",02-6005-0400
72,(주)그린프로그커뮤니케이션즈,"서울특별시 강남구 봉은사로 316 , 601호(역삼동, ASK벤처타운)",02-6952-9870
75,(주)세토기획,서울특별시 강남구 봉은사로 110 3층 (역삼동),02-542-7070
81,(주)미디아베이직,서울특별시 강남구 도산대로27길 26 401 (신사동),02-755-5748
102,(주)유퍼스트커뮤니케이션,서울 강남구 논현동  176-23,02-545-1251
103,(주)붐커뮤니케이션,서울특별시 강남구 언주로148길 14 다동 3층 (논현동),02-512-6764
105,(주)소망커뮤니케이션,"서울특별시 강남구 강남대로136길 22  (논현동,수부빌딩)",02-540-7999
108,(주)이노션,서울특별시 강남구 강남대로 308  (역삼동) 랜드마크타워,02-2016-2300
110,(주)메디커뮤니케이션,서울특별시 강남구 논현로 318  (역삼동),02-521-0733
