순번(No),광고회사,주소,전화번호,정리된_광고회사명,광고회사_키워드,카테고리별 키워드 재구성,키워드 번호,위도,경도
2,(주)오리콤,서울특별시 강남구 언주로 726 ,02-510-4100,오리콤,"브랜드컨설팅, 미디어, 프로모션, 인터넷마케팅",마케팅 브랜딩 조사,4,37.519653,127.035138
6,(주)코래드,서울 강남구 역삼동 677-25 ,02-2193-8000,코래드,"광고물, 산업디자인",sns,1,37.49988,127.03856
7,오길비코리아 유한회사,서울특별시 강남구 삼성로 507 ,02-513-1114,오길비코리아한회사,"프로모션, 스포츠마케팅, 인터넷비즈니스",마케팅 브랜딩 조사,4,37.5099867,127.0549048
8,(주)한컴,서울특별시 강남구 언주로 726 ,02-519-6900,한컴,캠페인 광고 기획,마케팅 브랜딩 조사,4,37.519653,127.035138
13,(주)인터콤어소시에이션,서울특별시 강남구 학동로53길 29  ,02-3448-8800,인터콤어소시에이션,"방송광고, 잡지광고, 신문광고, 지하철광고",sns,1,37.5189804,127.0395873
15,엠얼라이언스주식회사,서울특별시 강남구 봉은사로2길 31 ,02-2186-9700,엠얼라이언스식회사,금융,부동산,2025-금융,37.5027109,127.0264438
28,(주)하바스코리아,서울특별시 강남구 봉은사로86,02-841-2985,하바스코리아,"미디어, 문화, 스포츠",엔터테이먼트,8,,
34,케이아트만(주),서울 강남구 신사동  542-4,02-511-7053,케이아트만,"식품, 보험",부동산,2025-금융,37.5223206,127.0277019
37,TBWA KOREA(주),서울특별시 강남구 도산대로 139 ,02-501-8888,TBWA KOREA,브랜드 컨설팅,sns,1,37.521407,127.0336791
48,(주)덴츠크리에이티브코리아,서울특별시 강남구 테헤란로79길 6 ,02-6005-0011,덴츠크리에이티브코리아,"TV광고, 신문잡지광고",sns,1,37.5073082,127.0555879
50,(주)케이이씨씨,서울특별시 강남구 강남대로 560 ,02-574-2239,케이이씨씨,"CF,옥외광고",sns,1,37.5119023,127.0212827
53,(주)브레이커스커뮤니케이션스,서울 강남구 역삼동  서울시 강남구 역삼동 668-1 ,02-562-3328,브레이커스커뮤니케이션스,"영상, 오디오","미디어,콘텐츠 제작",2,,
56,미디어브랜즈코리아 주식회사,서울특별시 강남구 봉은사로2길 31 ,02-2186-9700,미디어브랜즈코리아식회사,"판매촉진,직접판매,시장조사",마케팅 브랜딩 조사,4,37.5027109,127.0264438
57,스푼 주식회사,서울특별시 강남구 논현로 706 ,02-2056-3606,스푼식회사,"미디어랩, 퍼포먼스 마케팅, 지하철 광고물",sns,1,37.4748031,127.0476702
58,(주)솔트커뮤니케이션즈(서울),서울특별시 강남구 언주로 725  (논현동),02-3442-7600,솔트커뮤니케이션즈(서울),디자인 용역,디자인,3,37.5198567,127.0294873
60,(주)비플러스,서울특별시 강남구 강남대로156길 12,02-562-5124,비플러스,"금융지원,온라인정보제공,경영컨설팅/전자상거래",부동산,2025-금융,37.5180199,127.0202368
62,그레이월드와이드코리아(주),서울 강남구 신사동 600-1 ,02-3015-5800,그레이월드와이드코리아,글로벌 기업 광고 대행,sns,1,37.5223206,127.0277019
