순번(No),광고회사,주소,전화번호,정리된_광고회사명,광고회사_키워드,카테고리별 키워드 재구성,키워드 번호
2,(주)오리콤,"서울특별시 강남구 언주로 726 두산빌딩 6,7층 (논현동)",02-510-4100,오리콤,"브랜드컨설팅, 미디어, 프로모션, 인터넷마케팅",마케팅/브랜드/리서치,4
6,(주)코래드,서울 강남구 역삼동 677-25 큰길타워13층,02-2193-8000,코래드,"광고물, 산업디자인",광고 대행/서비스 제공업체,1
7,오길비코리아 유한회사,서울특별시 강남구 삼성로 507 (삼성동) JS타워,02-513-1114,오길비코리아한회사,"프로모션, 스포츠마케팅, 인터넷비즈니스",마케팅/브랜드/리서치,4
8,(주)한컴,"서울특별시 강남구 언주로 726 5층,3층 일부(논현동, 두산빌딩)",02-519-6900,한컴,캠페인 광고 기획,마케팅/브랜드/리서치,4
13,(주)인터콤어소시에이션,"서울특별시 강남구 학동로53길 29  (논현동, 인터콤빌딩)",02-3448-8800,인터콤어소시에이션,"방송광고, 잡지광고, 신문광고, 지하철광고",광고 대행/서비스 제공업체,1
15,엠얼라이언스주식회사,서울특별시 강남구 봉은사로2길 31 더블유빌딩 7층 (역삼동),02-2186-9700,엠얼라이언스식회사,금융,산업군별 마케팅 영역,7-1
28,(주)하바스코리아,서울특별시 강남구 봉은사로86길 6 (삼성동) 레베쌍트빌딩 7층,02-841-2985,하바스코리아,"미디어, 문화, 스포츠",연예/스포츠/엔터테인먼트,8
34,케이아트만(주),서울 강남구 신사동  542-4번지 세비앙빌딩 4층,02-511-7053,케이아트만,"식품, 보험",산업군별 마케팅 영역,7-1
37,TBWA KOREA(주),서울특별시 강남구 도산대로 139 제이타워 7층(신사동),02-501-8888,TBWA KOREA,브랜드 컨설팅,광고 대행/서비스 제공업체,1
48,(주)덴츠크리에이티브코리아,"서울특별시 강남구 테헤란로79길 6 11층(삼성동,제이에스타워)",02-6005-0011,덴츠크리에이티브코리아,"TV광고, 신문잡지광고",광고 대행/서비스 제공업체,1
50,(주)케이이씨씨,서울특별시 강남구 강남대로 560 삼익전자빌딩 6층 (논현동),02-574-2239,케이이씨씨,"CF,옥외광고",광고 대행/서비스 제공업체,1
53,(주)브레이커스커뮤니케이션스,서울 강남구 역삼동  서울시 강남구 역삼동 668-1 청파빌딩 3층,02-562-3328,브레이커스커뮤니케이션스,"영상, 오디오",미디어/콘텐츠 제작,2
56,미디어브랜즈코리아 주식회사,서울특별시 강남구 봉은사로2길 31 더블유빌딩 6층 (역삼동),02-2186-9700,미디어브랜즈코리아식회사,"판매촉진,직접판매,시장조사",마케팅/브랜드/리서치,4
57,스푼 주식회사,"서울특별시 강남구 논현로 706 아이캐슬빌딩 3, 7층 (논현동)",02-2056-3606,스푼식회사,"미디어랩, 퍼포먼스 마케팅, 지하철 광고물",광고 대행/서비스 제공업체,1
58,(주)솔트커뮤니케이션즈(서울),서울특별시 강남구 언주로 725  (논현동),02-3442-7600,솔트커뮤니케이션즈(서울),디자인 용역,디자인 및 시각/산업 디자인,3
60,(주)비플러스,서울특별시 강남구 강남대로156길 12 4층 D15(다복빌딩),02-562-5124,비플러스,"금융지원,온라인정보제공,경영컨설팅/전자상거래",산업군별 마케팅 영역,7-1
62,그레이월드와이드코리아(주),"서울 강남구 신사동 600-1 ISA빌딩 2,3층",02-3015-5800,그레이월드와이드코리아,글로벌 기업 광고 대행,광고 대행/서비스 제공업체,1
64,(주)메이트인디펜던스,서울특별시 강남구 학동로 311 (논현동),02-2188-8400,메이트인디펜던스,"TV광고, 신문광고, 극장광고",광고 대행/서비스 제공업체,1
69,(주)애드씨케이,"서울특별시 강남구 언주로 647 6층(논현동,강남빌딩)",02-515-1420,애드씨케이,"건설, 대학, 제약, IT",IT/디지털/소프트웨어,5
70,(주)캐러트코리아,"서울 강남구 테헤란로79길 6 (삼성동,20제이에스타워10층)",02-6005-0400,캐러트코리아,뉴미디어,광고 대행/서비스 제공업체,1
72,(주)그린프로그커뮤니케이션즈,"서울특별시 강남구 봉은사로 316 , 601호(역삼동, ASK벤처타운)",02-6952-9870,그린프로그커뮤니케이션즈,"과학 기술, 광고 대행",IT/디지털/소프트웨어,5
75,(주)세토기획,서울특별시 강남구 봉은사로 110 3층 (역삼동),02-542-7070,세토기획,"주거, 아파트",산업군별 마케팅 영역,7-2
81,(주)미디아베이직,서울특별시 강남구 도산대로27길 26 401 (신사동),02-755-5748,미디아베이직,리뷰,이벤트/전시/행사 대행,6
102,(주)유퍼스트커뮤니케이션,서울 강남구 논현동  176-23,02-545-1251,퍼스트커뮤니케이션,부동산 임대,산업군별 마케팅 영역,7-2
103,(주)붐커뮤니케이션,서울특별시 강남구 언주로148길 14 다동 3층 (논현동),02-512-6764,붐커뮤니케이션,"TV, 신문광고, 옥외광고, 전시, 박람회",광고 대행/서비스 제공업체,1
105,(주)소망커뮤니케이션,"서울특별시 강남구 강남대로136길 22  (논현동,수부빌딩)",02-540-7999,소망커뮤니케이션,"영상물 제작, 광고물 작성",미디어/콘텐츠 제작,2
108,(주)이노션,서울특별시 강남구 강남대로 308  (역삼동) 랜드마크타워,02-2016-2300,이노션,자동차,산업군별 마케팅 영역,7-3
110,(주)메디커뮤니케이션,서울특별시 강남구 논현로 318  (역삼동),02-521-0733,메디커뮤니케이션,의료,산업군별 마케팅 영역,7-4
111,(주)애드리치,"서울특별시 강남구 테헤란로 410 , 889-13 금강타워 12층 (대치동)",02-562-6400,애드리치,"광고물 제작,옥외,전시 광고,시각 디자인,모델 에이전시",광고 대행/서비스 제공업체,1
112,(주)브랜드스톰마케팅앤커뮤니케이션그룹,"서울특별시 강남구 영동대로 517  (삼성동 아셈타워 201호, 702호 )",02-6001-7250,브랜드스톰마케팅앤커뮤니케이션그룹,"스포츠, 엔터테인먼트",연예/스포츠/엔터테인먼트,8
114,한양기획(주),서울특별시 강남구 강남대로160길 16 삼현빌딩 2층 (신사동),02-3442-5971,한양기획,부동산,산업군별 마케팅 영역,7-2
117,(주)서울디지컴애드,"서울특별시 강남구 논현로57길 8  (도곡동,지층)",02-785-7001,서울디지컴애드,"광고 및 홍보대행, 광고물작성",광고 대행/서비스 제공업체,1
124,(주)와이즈디자인앤컨설팅,서울 강남구 삼성동  153-1 하영빌딩 4층,02-2057-2682,와이즈디자인앤컨설팅,"부동산, 광고물 인쇄",산업군별 마케팅 영역,7-2
129,(주)비주얼라인,서울 강남구 논현동  4-22 현우빌딩 4층,02-549-5517,비얼라인,지방자치단체 홍보대행,광고 대행/서비스 제공업체,1
136,(주)클리프커뮤니케이션,"서울특별시 강남구 강남대로 578 8층, 성현빌딩 (논현동)",02-516-0047,클리프커뮤니케이션,"주거, 아파트",산업군별 마케팅 영역,7-2
138,(주)키위커뮤니케이션,서울특별시 강남구 논현로149길 67-10  (논현동),02-3445-4425,키위커뮤니케이션,"주거, 아파트, 건설",산업군별 마케팅 영역,7-2
143,(주)퀀텀프로젝트,서울 강남구 논현동  6-5 광성빌딩 502호,02-6245-7348,퀀텀프로젝트,"TV, 라디오, 신문, 옥외",광고 대행/서비스 제공업체,1
144,(주)커뮤니케이션소리,"서울특별시 강남구 강남대로128길 28 2층 201호 (논현동, 케이지플러스빌딩)",02-541-0522,커뮤니케이션소리,인쇄,디자인 및 시각/산업 디자인,3
146,(주)광륭,"서울특별시 강남구 자곡로 174-10 8층, 803 (자곡동, 강남에이스타워) ",02-599-1582,광륭,"산업전시회, 국제회의",이벤트/전시/행사 대행,6
158,(주)애드노바,서울특별시 강남구 강남대로136길 6 지형빌딩3층 (논현동),02-6925-7330,애드노바,"글로벌 광고주, 인앱 광고 수익",광고 대행/서비스 제공업체,1
162,(주)컴투게더,서울 강남구 삼성동  123-19,02-558-1554,컴투게더,"광고물제작,출판,임대,부동산 분양대행업,광고대행",산업군별 마케팅 영역,7-2
169,(주)엔씨씨애드,"서울특별시 강남구 도산대로25길 3-6 엔씨씨빌딩 3,4층 (신사동)",02-545-3634,엔씨씨애드,공익광고,광고 대행/서비스 제공업체,1
178,원더맨톰슨코리아 주식회사,서울특별시 강남구 삼성로 507 (삼성동) JS타워 14층,02-531-9650,원더맨톰슨코리아식회사,글로벌 기업 IMC 서비스,광고 대행/서비스 제공업체,1
180,(주)디젤커뮤니케이션,서울특별시 강남구 언주로149길 5-4  (논현동) 세화빌딩 3층,02-516-0290,디젤커뮤니케이션,"영화, 필름",미디어/콘텐츠 제작,2
182,(주)조인트크리에이티브,서울특별시 강남구 강남대로146길 35 2층 (논현동),02-3443-2631,조인트크리에이티브,"판촉, 광고 대행",광고 대행/서비스 제공업체,1
184,(주)티엔씨애드컴,서울특별시 강남구 언주로71길 13 5층 (역삼동),02-2051-4335,티엔씨애드컴,"전시, 인테리어, 실내건축",이벤트/전시/행사 대행,6
187,(주)에이엠에스미디어,서울 강남구 역삼동 746-22 대명빌딩 303,02-501-9052,에이엠에스미디어,"음향, 조명, 영상, 인테리어",미디어/콘텐츠 제작,2
189,주식회사 스웨이브,서울특별시 강남구 봉은사로55길 47  (삼성동),02-3472-7006,식회사 스웨이브,"건설, 부동산",산업군별 마케팅 영역,7-2
204,(주)덴츠엑스,서울특별시 강남구 테헤란로79길 6 JS타워 10층 (삼성동),02-3011-2500,덴츠엑스,자동차,산업군별 마케팅 영역,7-3
206,(주)케이엘커뮤니케이션,"서울 강남구 논현동  6-11 진성빌딩 2, 3층",02-543-0620,케이엘커뮤니케이션,"행사, 이벤트 기획",광고 대행/서비스 제공업체,1
207,(주)이지컴다이렉트,서울 강남구 논현동 216-3  히아빌딩 5층,02-544-6520,이지컴다이렉트,주거용 건물 개발 및 공급업,산업군별 마케팅 영역,7-2
213,더노벰버(주),서울특별시 강남구 언주로129길 17  (논현동)진빌딩3층,02-544-1982,더노벰버,광고 디자인,디자인 및 시각/산업 디자인,3
218,(주)모티브플러스,서울 강남구 신사동  588 산도빌딩 2층,02-512-8099,모티브플러스,"미디어, 디자인",디자인 및 시각/산업 디자인,3
222,(주)티케엔터테인먼트,서울특별시 강남구 봉은사로 420  (삼성동) 503호,02-516-6697,티케엔터테인먼트,PPL,광고 대행/서비스 제공업체,1
231,(주)에프씨네트워크,서울 강남구 역삼동 666-15 홍인빌딩 4층,02-3471-1500,에프씨네트워크,"스포츠, 엔터테인먼트",연예/스포츠/엔터테인먼트,8
236,(주)애드엑스포코리아,"서울특별시 강남구 영동대로 513 B-47 (삼성동,코엑스)",02-6010-3324,애드엑스포코리아,유통,기타 사업지원/유통/전자상거래,9
242,(주)어썸커뮤니케이션즈,서울 강남구 신사동 535-25 금광빌딩 2층,02-547-5707,어썸커뮤니케이션즈,"언론홍보, 컨텐츠 제작",미디어/콘텐츠 제작,2
244,(주)미스터피알,"서울특별시 강남구 선릉로 604 206호 (삼성동, 호산프라자)",02-761-6081,미스터피알,"방송, 광고, 영상, 오디오",미디어/콘텐츠 제작,2
247,(주)웨일미디어,서울특별시 강남구 논현로86길 34 포커스빌딩 4층 (역삼동),02-567-7531,웨일미디어,"스마트폰 웹페이지 제작, 광고대행",광고 대행/서비스 제공업체,1
248,(주)로빈스앤컴퍼니,서울특별시 강남구 학동로97길 43-5  (청담동)베네빌딩,02-556-6088,로빈스앤컴퍼니,"건설, 분양",산업군별 마케팅 영역,7-2
251,(주)스타일미디어,서울특별시 강남구 역삼로20길 12  (역삼동) 4층,02-549-7678,스타일미디어,"광고물 제작, 도안 설계",미디어/콘텐츠 제작,2
