상호명,주소,업종대분류,업종중분류,업종소분류,위도,경도
허술한집,서울특별시 강서구 공항동 45-89,음식,분식,라면김밥분식,37.5556799,126.7931257
신풍유통,서울특별시 중구 봉래동2가 122,제조,식품가공/제조,종합식품제조,37.55661,126.97177
옛날한과,서울특별시 양천구 신월동 115-15,음식,제과제빵떡케익,떡/한과집,37.52782,126.83692
서울연인단팥빵본점,서울특별시 강남구 역삼동 707-9,제조,식품가공/제조,빵/과자제조-종합,37.49988,127.03856
엔젤,서울특별시 중구 황학동 706-2,음식,유흥주점,호프/맥주,37.5675499,127.02172
하루식품,서울특별시 중구 충무로1가 52-5,소매,음/식료품소매,식료품점,37.56088,126.98318
시드니,서울특별시 양천구 신정동 117-36,음식,유흥주점,룸살롱/단란주점,37.5162407,126.8521196
신창농산구내식당,서울특별시 송파구 가락동 600,음식,기타음식업,구내식당/자급식음식점,37.49672,127.11744
도쿄다이야키,서울특별시 강남구 대치동 937,음식,제과제빵떡케익,제과점,37.49882,127.06566
선일이비즈니스고등학교,서울특별시 은평구 갈현동 240-1,학문/교육,학교,고등학교,37.62058,126.91102
GS25대치학원점,서울특별시 강남구 대치동 988-17,소매,종합소매점,편의점,37.49882,127.06566
GS25,서울특별시 강남구 신사동 659-9,소매,종합소매점,편의점,37.5223206,127.0277019
우리에프엔지,서울특별시 구로구 구로동 188-26,제조,식품가공/제조,종합식품제조,37.4945849,126.8845477
NC백화점,서울특별시 서초구 잠원동 70-2,소매,종합소매점,백화점,37.5182544,127.0124028
동화푸드,서울특별시 중구 소공동 1,제조,식품가공/제조,종합식품제조,37.5654798,126.977114
한비건강식품,서울특별시 관악구 신림동 607-73,소매,건강/미용식품,건강식품판매,37.4890783,126.9275772
강원전통식품,서울특별시 서초구 양재동 232,소매,음/식료품소매,식료품점,37.46838,127.0361
풋젠,서울특별시 강동구 성내동 169-6,소매,가방/신발/액세서리,신발소매,37.52998,127.12875
돈돈,서울특별시 용산구 한강로3가 40-999,소매,사무/문구/컴퓨터,컴퓨터/주변기기,,
황제,서울특별시 서대문구 창천동 30-33,제조,식품가공/제조,종합식품제조,,
베이크드아를르,서울특별시 영등포구 영등포동4가 434-5,,,,37.51777,126.90368
희원비지니스,서울특별시 관악구 신림동 1425-29,음식,유흥주점,기타일반유흥주점,37.4868283,126.9282666
GS25,서울특별시 은평구 대조동 187-7,소매,종합소매점,편의점,37.61261,126.9227835
CU,서울특별시 강남구 논현동 105-4,소매,종합소매점,편의점,37.5123018,127.0294935
경기반찬,서울특별시 송파구 신천동 7,제조,식품가공/제조,종합식품제조,37.5184928,127.1030779
송정,서울특별시 강동구 성내동 130-18,제조,식품가공/제조,종합식품제조,37.52998,127.12875
고메홈,서울특별시 중구 충무로1가 52-5,음식,한식,곱창/양구이전문,37.56088,126.98318
롯데리아홈플러스강서점,서울특별시 강서구 등촌동 639-11,음식,패스트푸드,패스트푸드,37.5498936,126.86025
CU,서울특별시 성동구 성수동1가 656-997,소매,종합소매점,편의점,,
싱싱포차,서울특별시 구로구 오류동 36-1,음식,한식,한식/백반/한정식,37.4910095,126.8377379
용보제약,서울특별시 동대문구 제기동 892-29,제조,제약업,제약업-종합,37.58465,127.03678
삼환씨푸드,서울특별시 양천구 목동 916,소매,음/식료품소매,반찬가게,37.53608,126.87585
예미찬방,서울특별시 강남구 삼성동 159-7,제조,식품가공/제조,종합식품제조,37.5147838,127.0543618
소피아코리아,서울특별시 구로구 고척동 161-13,,,,37.5034631,126.8585846
경성자동차,서울특별시 노원구 공릉동 494-5,교통/운송,택시운송,택시회사,37.63021,127.08818
