소상공인_상호명,소상공인_주소,소상공인_업종대분류,소상공인_업종중분류,소상공인_업종소분류,광고회사_이름,광고회사_주소,거리_km,거리기반_점수
허술한집,서울특별시 강서구 공항동 45-89,음식,분식,라면김밥분식,더트러스티스,서울특별시 강남구 압구정로4길 7 ,20.405,59.2
허술한집,서울특별시 강서구 공항동 45-89,음식,분식,라면김밥분식,한양기획,서울특별시 강남구 강남대로160길 16,20.471,59.1
허술한집,서울특별시 강서구 공항동 45-89,음식,분식,라면김밥분식,비플러스,서울특별시 강남구 강남대로156길 12,20.503,59.0
허술한집,서울특별시 강서구 공항동 45-89,음식,분식,라면김밥분식,애드크루즈,서울특별시 강남구 강남대로158길 19 ,20.491,59.0
허술한집,서울특별시 강서구 공항동 45-89,음식,분식,라면김밥분식,식회사 큐아이그룹,서울특별시 강남구 강남대로156길 14,20.517,59.0
허술한집,서울특별시 강서구 공항동 45-89,음식,분식,라면김밥분식,더리얼마케팅,서울특별시 강남구 압구정로10길 13 ,20.567,58.9
허술한집,서울특별시 강서구 공항동 45-89,음식,분식,라면김밥분식,투앤파트너스,서울특별시 강남구 강남대로156길 24 ,20.568,58.9
허술한집,서울특별시 강서구 공항동 45-89,음식,분식,라면김밥분식,코인사이드,서울특별시 강남구 강남대로162길 27-16,20.542,58.9
허술한집,서울특별시 강서구 공항동 45-89,음식,분식,라면김밥분식,브랜드테이크아웃,서울특별시 강남구 강남대로152길 14,20.563,58.9
허술한집,서울특별시 강서구 공항동 45-89,음식,분식,라면김밥분식,어썸메이크,서울특별시 강남구 강남대로146길 7 ,20.602,58.8
신풍유통,서울특별시 중구 봉래동2가 122,제조,식품가공/제조,종합식품제조,더트러스티스,서울특별시 강남구 압구정로4길 7 ,5.735,88.5
신풍유통,서울특별시 중구 봉래동2가 122,제조,식품가공/제조,종합식품제조,더리얼마케팅,서울특별시 강남구 압구정로10길 13 ,5.832,88.3
신풍유통,서울특별시 중구 봉래동2가 122,제조,식품가공/제조,종합식품제조,코인사이드,서울특별시 강남구 강남대로162길 27-16,5.897,88.2
신풍유통,서울특별시 중구 봉래동2가 122,제조,식품가공/제조,종합식품제조,한양기획,서울특별시 강남구 강남대로160길 16,5.952,88.1
신풍유통,서울특별시 중구 봉래동2가 122,제조,식품가공/제조,종합식품제조,애드크루즈,서울특별시 강남구 강남대로158길 19 ,5.974,88.1
신풍유통,서울특별시 중구 봉래동2가 122,제조,식품가공/제조,종합식품제조,비플러스,서울특별시 강남구 강남대로156길 12,6.057,87.9
신풍유통,서울특별시 중구 봉래동2가 122,제조,식품가공/제조,종합식품제조,미소다컴,서울특별시 강남구 압구정로28길 9-2 ,6.035,87.9
신풍유통,서울특별시 중구 봉래동2가 122,제조,식품가공/제조,종합식품제조,이니셔티브,서울특별시 강남구 언주로 727  ,6.063,87.9
신풍유통,서울특별시 중구 봉래동2가 122,제조,식품가공/제조,종합식품제조,포트폴리오,서울특별시 강남구 언주로 727 ,6.063,87.9
신풍유통,서울특별시 중구 봉래동2가 122,제조,식품가공/제조,종합식품제조,애드에이치큐,서울특별시 강남구 언주로 333 ,6.063,87.9
옛날한과,서울특별시 양천구 신월동 115-15,음식,제과제빵떡케익,떡/한과집,더트러스티스,서울특별시 강남구 압구정로4길 7 ,16.207,67.6
옛날한과,서울특별시 양천구 신월동 115-15,음식,제과제빵떡케익,떡/한과집,비플러스,서울특별시 강남구 강남대로156길 12,16.241,67.5
옛날한과,서울특별시 양천구 신월동 115-15,음식,제과제빵떡케익,떡/한과집,한양기획,서울특별시 강남구 강남대로160길 16,16.23,67.5
옛날한과,서울특별시 양천구 신월동 115-15,음식,제과제빵떡케익,떡/한과집,애드크루즈,서울특별시 강남구 강남대로158길 19 ,16.249,67.5
옛날한과,서울특별시 양천구 신월동 115-15,음식,제과제빵떡케익,떡/한과집,식회사 큐아이그룹,서울특별시 강남구 강남대로156길 14,16.256,67.5
옛날한과,서울특별시 양천구 신월동 115-15,음식,제과제빵떡케익,떡/한과집,투앤파트너스,서울특별시 강남구 강남대로156길 24 ,16.313,67.4
옛날한과,서울특별시 양천구 신월동 115-15,음식,제과제빵떡케익,떡/한과집,어썸메이크,서울특별시 강남구 강남대로146길 7 ,16.305,67.4
옛날한과,서울특별시 양천구 신월동 115-15,음식,제과제빵떡케익,떡/한과집,브랜드테이크아웃,서울특별시 강남구 강남대로152길 14,16.289,67.4
옛날한과,서울특별시 양천구 신월동 115-15,음식,제과제빵떡케익,떡/한과집,초코렛커뮤니케이션,서울특별시 강남구 강남대로154길 24 ,16.32,67.4
옛날한과,서울특별시 양천구 신월동 115-15,음식,제과제빵떡케익,떡/한과집,클리프커뮤니케이션,서울특별시 강남구 강남대로 578 ,16.333,67.3
서울연인단팥빵본점,서울특별시 강남구 역삼동 707-9,제조,식품가공/제조,빵/과자제조-종합,코래드,서울 강남구 역삼동 677-25 ,0.0,100.0
서울연인단팥빵본점,서울특별시 강남구 역삼동 707-9,제조,식품가공/제조,빵/과자제조-종합,에이엠에스미디어,서울 강남구 역삼동 746-22 ,0.0,100.0
서울연인단팥빵본점,서울특별시 강남구 역삼동 707-9,제조,식품가공/제조,빵/과자제조-종합,에프씨네트워크,서울 강남구 역삼동 666-15 ,0.0,100.0
서울연인단팥빵본점,서울특별시 강남구 역삼동 707-9,제조,식품가공/제조,빵/과자제조-종합,스포츠플러스,서울 강남구 역삼동 791-12,0.0,100.0
서울연인단팥빵본점,서울특별시 강남구 역삼동 707-9,제조,식품가공/제조,빵/과자제조-종합,어비즈,서울 강남구 역삼동 735-32 ,0.0,100.0
서울연인단팥빵본점,서울특별시 강남구 역삼동 707-9,제조,식품가공/제조,빵/과자제조-종합,메타커뮤니케이션즈,서울특별시 강남구 논현로86길 27 ,0.116,99.8
서울연인단팥빵본점,서울특별시 강남구 역삼동 707-9,제조,식품가공/제조,빵/과자제조-종합,크로스미디어,서울특별시 강남구 논현로86길 27,0.116,99.8
서울연인단팥빵본점,서울특별시 강남구 역삼동 707-9,제조,식품가공/제조,빵/과자제조-종합,웨일미디어,서울특별시 강남구 논현로86길 34 ,0.166,99.7
서울연인단팥빵본점,서울특별시 강남구 역삼동 707-9,제조,식품가공/제조,빵/과자제조-종합,벡터컴,서울특별시 강남구 논현로81길 12 ,0.221,99.6
