소상공인_상호명,업종,광고회사_이름,광고_키워드,유사도점수,소상공인_주소,소상공인_업종대분류,소상공인_업종중분류,소상공인_업종소분류,광고회사_주소,거리_km,거리기반_점수,최종추천점수
로코스9,화장품/비누/세정제도매,맥브레인즈,화장품,48.2,서울특별시 성북구 하월곡동 227,도매/유통/무역,화장품/비누/세정제도매,화장품/비누/세정제도매-종합,서울특별시 강남구 언주로 551 ,7.716,84.6,62.8
강남발머스한의원,병원,어비즈,의료,28.7,서울특별시 강남구 역삼동 823-24,의료,병원,한의원,서울 강남구 역삼동 735-32 ,0.0,100.0,57.2
에이치에비뉴호텔역삼,한식,코래드,sns,15.8,서울특별시 강남구 역삼동 678-14,음식,한식,한식/백반/한정식,서울 강남구 역삼동 677-25 ,0.0,100.0,49.5
강남곱창이야기,한식,코래드,sns,15.8,서울특별시 강남구 역삼동 687,음식,한식,곱창/양구이전문,서울 강남구 역삼동 677-25 ,0.0,100.0,49.5
강원전통식품,음/식료품소매,스푼식회사,sns,15.1,서울특별시 서초구 양재동 232,소매,음/식료품소매,식료품점,서울특별시 강남구 논현로 706 ,1.247,97.5,48.1
아이넷라이프,장례/묘지,메디커뮤니케이션,의료,14.3,서울특별시 서초구 양재동 107,생활서비스,장례/묘지,장의사/관련서비스-종합,서울특별시 강남구 논현로 318,1.247,97.5,47.6
서울연인단팥빵본점,식품가공/제조,코래드,sns,12.1,서울특별시 강남구 역삼동 707-9,제조,식품가공/제조,빵/과자제조-종합,서울 강남구 역삼동 677-25 ,0.0,100.0,47.3
파마푸드코리아,식품가공/제조,코래드,sns,12.1,서울특별시 강남구 역삼동 702-10,제조,식품가공/제조,종합식품제조,서울 강남구 역삼동 677-25 ,0.0,100.0,47.3
명암산채,식품가공/제조,코래드,sns,12.1,서울특별시 강남구 역삼동 755,제조,식품가공/제조,종합식품제조,서울 강남구 역삼동 677-25 ,0.0,100.0,47.3
피자스쿨,한식,스푼식회사,sns,15.8,서울특별시 서초구 우면동 66-1,음식,한식,한식/백반/한정식,서울특별시 강남구 논현로 706 ,2.781,94.4,47.2
클랑도쿄빵야,양식,그레이월드와이드코리아,sns,11.6,서울특별시 강남구 신사동 543-8,음식,양식,정통양식/경양식,서울 강남구 신사동 600-1 ,0.0,100.0,47.0
샷업,양식,그레이월드와이드코리아,sns,11.6,서울특별시 강남구 신사동 661,음식,양식,정통양식/경양식,서울 강남구 신사동 600-1 ,0.0,100.0,47.0
삼성제약헬스케어,제약업,코래드,sns,10.5,서울특별시 강남구 역삼동 747-19,제조,제약업,제약업-기타,서울 강남구 역삼동 677-25 ,0.0,100.0,46.3
두영에프앤디,식품가공/제조,케이이씨씨,sns,12.1,서울특별시 서초구 반포동 19-3,제조,식품가공/제조,종합식품제조,서울특별시 강남구 강남대로 560 ,2.01,96.0,45.7
메르디앙베이커리,식품가공/제조,케이이씨씨,sns,12.1,서울특별시 서초구 반포동 55-6,제조,식품가공/제조,종합식품제조,서울특별시 강남구 강남대로 560 ,2.01,96.0,45.7
한비건강식품,건강/미용식품,어썸메이크,화장품,21.1,서울특별시 관악구 신림동 607-73,소매,건강/미용식품,건강식품판매,서울특별시 강남구 강남대로146길 7 ,8.748,82.5,45.7
미니,양식,케이이씨씨,sns,11.6,서울특별시 서초구 반포동 816,음식,양식,정통양식/경양식,서울특별시 강남구 강남대로 560 ,2.01,96.0,45.4
마트네깜순이네,운동/경기용품소매,메이트인디펜던스,sns,7.5,서울특별시 강남구 논현동 235,소매,운동/경기용품소매,운동/경기용품,서울특별시 강남구 학동로 311 (논현동),0.107,99.8,44.4
한국야쿠르트봉일점,음/식료품소매,케이이씨씨,sns,15.1,서울특별시 관악구 봉천동 44-14,소매,음/식료품소매,우유판매,서울특별시 강남구 강남대로 560 ,7.111,85.8,43.4
신원씨푸드,음/식료품소매,케이이씨씨,sns,15.1,서울특별시 관악구 봉천동 729-22,소매,음/식료품소매,반찬가게,서울특별시 강남구 강남대로 560 ,7.111,85.8,43.4
