소상공인_상호명,업종,광고회사_이름,광고_키워드,유사도점수
허술한집,분식,코래드,sns,14.0
허술한집,분식,인터콤어소시에이션,sns,14.0
허술한집,분식,TBWA KOREA,sns,14.0
허술한집,분식,덴츠크리에이티브코리아,sns,14.0
허술한집,분식,케이이씨씨,sns,14.0
허술한집,분식,메이트인디펜던스,sns,14.0
허술한집,분식,스푼식회사,sns,14.0
허술한집,분식,붐커뮤니케이션,sns,14.0
허술한집,분식,그레이월드와이드코리아,sns,14.0
허술한집,분식,캐러트코리아,sns,14.0
신풍유통,식품가공/제조,케이이씨씨,sns,12.1
신풍유통,식품가공/제조,덴츠크리에이티브코리아,sns,12.1
신풍유통,식품가공/제조,메이트인디펜던스,sns,12.1
신풍유통,식품가공/제조,코래드,sns,12.1
신풍유통,식품가공/제조,TBWA KOREA,sns,12.1
신풍유통,식품가공/제조,인터콤어소시에이션,sns,12.1
신풍유통,식품가공/제조,그레이월드와이드코리아,sns,12.1
신풍유통,식품가공/제조,스푼식회사,sns,12.1
신풍유통,식품가공/제조,캐러트코리아,sns,12.1
신풍유통,식품가공/제조,붐커뮤니케이션,sns,12.1
옛날한과,제과제빵떡케익,붐커뮤니케이션,sns,12.1
옛날한과,제과제빵떡케익,캐러트코리아,sns,12.1
옛날한과,제과제빵떡케익,메이트인디펜던스,sns,12.1
옛날한과,제과제빵떡케익,코래드,sns,12.1
옛날한과,제과제빵떡케익,스푼식회사,sns,12.1
옛날한과,제과제빵떡케익,인터콤어소시에이션,sns,12.1
옛날한과,제과제빵떡케익,덴츠크리에이티브코리아,sns,12.1
옛날한과,제과제빵떡케익,그레이월드와이드코리아,sns,12.1
옛날한과,제과제빵떡케익,케이이씨씨,sns,12.1
옛날한과,제과제빵떡케익,TBWA KOREA,sns,12.1
서울연인단팥빵본점,식품가공/제조,붐커뮤니케이션,sns,12.1
서울연인단팥빵본점,식품가공/제조,캐러트코리아,sns,12.1
서울연인단팥빵본점,식품가공/제조,인터콤어소시에이션,sns,12.1
서울연인단팥빵본점,식품가공/제조,코래드,sns,12.1
서울연인단팥빵본점,식품가공/제조,스푼식회사,sns,12.1
서울연인단팥빵본점,식품가공/제조,케이이씨씨,sns,12.1
서울연인단팥빵본점,식품가공/제조,덴츠크리에이티브코리아,sns,12.1
서울연인단팥빵본점,식품가공/제조,TBWA KOREA,sns,12.1
서울연인단팥빵본점,식품가공/제조,그레이월드와이드코리아,sns,12.1
서울연인단팥빵본점,식품가공/제조,메이트인디펜던스,sns,12.1
엔젤,유흥주점,메이트인디펜던스,sns,13.0
